"Rec No","Orderid","Ordervgepointer","Orderbol","Createdby","Locked","Orderprinted","Ordercancelled","Orderdate","Cancelledby","Cancelleddate"
        4320,           55,         1003,        61835,"SHERICA",  0,  1,  0,20151027,,
        4321,           56,         1003,        61878,"SHERICA",  0,  1,  0,20151027,,
        4322,           57,         1003,        61846,"SHERICA",  0,  1,  0,20151027,,
        4323,           58,         1003,        61863,"SHERICA",  0,  1,  0,20151027,,
        4324,           59,         1003,        61834,"SHERICA",  0,  1,  0,20151027,,
        4325,           60,         1003,        61831,"SHERICA",  0,  1,  0,20151027,,
        4326,           61,         1003,        61815,"SHERICA",  0,  1,  0,20151027,,
        4327,           62,         1003,        61837,"SHERICA",  0,  1,  0,20151027,,
        4328,           63,         1003,        61859,"VENNESA",  0,  1,  0,20151027,,
        4329,           64,         1003,        61842,"SHERICA",  0,  1,  0,20151027,,
        4330,           65,         1003,        61832,"SHERICA",  0,  1,  0,20151027,,
        4331,           66,         1003,        61839,"SHERICA",  0,  1,  0,20151027,,
        4332,           67,         1003,        61836,"VENNESA",  0,  1,  0,20151027,,
        4334,           68,         1003,        61829,"SHERICA",  0,  1,  0,20151027,,
        4335,           69,         1003,        61811,"SHERICA",  0,  1,  0,20151027,,
        4336,           70,         1003,        61877,"SHERICA",  0,  1,  0,20151027,,
        4337,           71,         1003,        61818,"SHERICA",  0,  1,  0,20151027,,
        4340,           72,         1004,        61907,"myriam",  0,  1,  0,20151027,,
        4341,           73,         1004,        61945,"myriam",  0,  1,  0,20151027,,
        4342,           74,         1004,        61932,"myriam",  0,  1,  0,20151027,,
        4343,           75,         1004,        61893,"myriam",  0,  1,  0,20151027,,
        4344,           76,         1004,        61908,"myriam",  0,  1,  0,20151027,,
        4345,           77,         1004,        61924,"myriam",  0,  1,  0,20151027,,
        4346,           78,         1004,        61882,"myriam",  0,  1,  0,20151027,,
        4347,           79,         1004,        61885,"myriam",  0,  1,  0,20151027,,
        4348,           80,         1004,        61922,"myriam",  0,  1,  0,20151027,,
        4349,           81,         1004,        61910,"myriam",  0,  1,  0,20151027,,
        4350,           82,         1004,        61925,"myriam",  0,  1,  0,20151027,,
        4351,           83,         1004,        61888,"myriam",  0,  1,  0,20151027,,
        4352,           84,         1004,        61883,"myriam",  0,  1,  0,20151027,,
        4353,           85,         1004,        61890,"myriam",  0,  1,  0,20151027,,
        4354,           86,         1004,        61905,"myriam",  0,  1,  0,20151027,,
        4355,           87,         1004,        61913,"myriam",  0,  1,  0,20151027,,
        4356,           88,         1004,        61898,"myriam",  0,  1,  0,20151027,,
        4357,           89,         1004,        61897,"myriam",  0,  1,  0,20151027,,
        4358,           90,         1004,        61901,"myriam",  0,  1,  0,20151027,,
        4359,           91,         1004,        61909,"myriam",  0,  1,  0,20151027,,
        4360,           92,         1004,        61900,"myriam",  0,  1,  0,20151027,,
        4361,           93,         1004,        61899,"myriam",  0,  1,  0,20151027,,
        4362,           94,         1004,        61895,"myriam",  0,  1,  0,20151027,,
        4363,           95,         1004,        61923,"myriam",  0,  1,  0,20151027,,
        4364,           96,         1004,        61891,"myriam",  0,  1,  0,20151027,,
        4365,           97,         1004,        61917,"myriam",  0,  1,  0,20151027,,
        4366,           98,         1004,        61918,"myriam",  0,  1,  0,20151027,,
        4367,           99,         1004,        61896,"myriam",  0,  1,  0,20151027,,
        4368,          100,         1004,        61926,"myriam",  0,  1,  0,20151027,,
        4369,          101,         1004,        61933,"myriam",  0,  1,  0,20151027,,
        4370,          102,         1004,        61914,"myriam",  0,  1,  0,20151027,,
        4371,          103,         1004,        61936,"myriam",  0,  1,  0,20151027,,
        4372,          104,         1004,        61929,"myriam",  0,  1,  0,20151027,,
        4373,          105,         1004,        61946,"myriam",  0,  1,  0,20151027,,
        4374,          106,         1004,        61894,"myriam",  0,  1,  0,20151027,,
        4375,          107,         1004,        61919,"myriam",  0,  1,  0,20151027,,
        4377,          108,         1004,        61884,"myriam",  0,  1,  0,20151027,,
        4378,          109,         1004,        61916,"myriam",  0,  1,  0,20151027,,
        4379,          110,         1004,        61902,"myriam",  0,  1,  0,20151027,,
        4380,          111,         1004,        61912,"myriam",  0,  1,  0,20151027,,
        4381,          112,         1004,        61921,"myriam",  0,  1,  0,20151027,,
        4382,          113,         1004,        61928,"myriam",  0,  1,  0,20151027,,
        4383,          114,         1004,        61904,"myriam",  0,  1,  0,20151027,,
        4385,          115,         1004,        61915,"myriam",  0,  1,  0,20151027,,
        4386,          116,         1004,        61892,"myriam",  0,  1,  0,20151027,,
        4387,          117,         1004,        61935,"myriam",  0,  1,  0,20151027,,
        4388,          118,         1004,        61931,"myriam",  0,  1,  0,20151027,,
        4389,          119,         1004,        61930,"myriam",  0,  1,  0,20151027,,
        4390,          120,         1004,        61881,"myriam",  0,  1,  0,20151027,,
        4391,          121,         1004,        61880,"myriam",  0,  1,  0,20151027,,
        4392,          122,         1004,        61886,"myriam",  0,  1,  0,20151027,,
        4393,          123,         1004,        61903,"myriam",  0,  1,  0,20151027,,
        4394,          124,         1004,        61937,"myriam",  0,  1,  0,20151027,,
        4395,          125,         1004,        61887,"myriam",  0,  1,  0,20151027,,
        4396,          126,         1004,        61938,"myriam",  0,  1,  0,20151027,,
        4397,          127,         1004,        61939,"myriam",  0,  1,  0,20151027,,
        4398,          128,         1004,        61943,"myriam",  0,  1,  0,20151027,,
        4399,          129,         1004,        61944,"myriam",  0,  1,  0,20151027,,
        4401,          130,         1004,        61942,"myriam",  0,  1,  0,20151027,,
        4402,          131,         1004,        61920,"myriam",  0,  1,  0,20151027,,
        4403,          132,         1004,        61940,"myriam",  0,  1,  0,20151027,,
        4404,          133,         1004,        61934,"myriam",  0,  1,  0,20151027,,
        4405,          134,         1004,        61927,"myriam",  0,  1,  0,20151027,,
        4406,          135,         1004,        61889,"myriam",  0,  1,  0,20151027,,
        4407,          136,         1004,        61906,"myriam",  0,  1,  0,20151027,,
        4408,          137,         1004,        61948,"myriam",  0,  1,  0,20151027,,
        4409,          138,         1004,        61949,"myriam",  0,  1,  0,20151027,,
        4410,          139,         1004,        61947,"myriam",  0,  1,  0,20151027,,
        4411,          140,         1004,        61941,"myriam",  0,  1,  0,20151027,,
        4412,          141,         1004,        61911,"myriam",  0,  1,  0,20151027,,
        4413,          142,         1010,        62262,"VENNESA",  0,  1,  0,20151029,,
        4414,          143,         1010,        62260,"myriam",  0,  1,  0,20151029,,
        4415,          144,         1010,        62263,"myriam",  0,  1,  0,20151029,,
        4416,          145,         1010,        62254,"myriam",  0,  1,  0,20151029,,
        4417,          146,         1010,        62253,"myriam",  0,  1,  0,20151029,,
        4418,          147,         1010,        62244,"myriam",  0,  1,  0,20151029,,
        4419,          148,         1010,        62234,"myriam",  0,  1,  0,20151029,,
        4420,          149,         1010,        62232,"myriam",  0,  1,  0,20151029,,
        4421,          150,         1010,        62249,"myriam",  0,  1,  0,20151029,,
        4422,          151,         1010,        62243,"myriam",  0,  1,  0,20151029,,
        4423,          152,         1010,        62250,"myriam",  0,  1,  0,20151029,,
        4424,          153,         1010,        62251,"myriam",  0,  1,  0,20151029,,
        4425,          154,         1010,        62231,"myriam",  0,  1,  0,20151029,,
        4426,          155,         1010,        62257,"myriam",  0,  1,  0,20151029,,
        4427,          156,         1010,        62235,"myriam",  0,  1,  0,20151029,,
        4428,          157,         1010,        62236,"myriam",  0,  1,  0,20151029,,
        4429,          158,         1010,        62245,"myriam",  0,  1,  0,20151029,,
        4430,          159,         1010,        62264,"myriam",  0,  1,  0,20151029,,
        4431,          160,         1010,        62240,"myriam",  0,  1,  0,20151029,,
        4432,          161,         1010,        62259,"myriam",  0,  1,  0,20151029,,
        4433,          162,         1010,        62258,"myriam",  0,  1,  0,20151029,,
        4435,          163,         1010,        62242,"myriam",  0,  1,  0,20151029,,
        4436,          164,         1010,        62267,"myriam",  0,  1,  0,20151029,,
        4437,          165,         1010,        62261,"myriam",  0,  1,  0,20151029,,
        4438,          166,         1010,        62233,"myriam",  0,  1,  0,20151029,,
        4439,          167,         1010,        62237,"myriam",  0,  1,  0,20151029,,
        4440,          168,         1010,        62252,"myriam",  0,  1,  0,20151029,,
        4441,          169,         1010,        62247,"myriam",  0,  1,  0,20151029,,
        4442,          170,         1010,        62238,"myriam",  0,  1,  0,20151029,,
        4443,          171,         1010,        62230,"myriam",  0,  1,  0,20151029,,
        4444,          172,         1010,        62241,"myriam",  0,  1,  0,20151029,,
        4445,          173,         1010,        62255,"myriam",  0,  1,  0,20151029,,
        4446,          174,         1010,        62248,"myriam",  0,  1,  0,20151029,,
        4447,          175,         1010,        62266,"myriam",  0,  1,  0,20151029,,
        4448,          176,         1010,        62256,"myriam",  0,  1,  0,20151029,,
        4449,          177,         1010,        62265,"myriam",  0,  1,  0,20151029,,
        4450,          178,         1010,        62239,"myriam",  0,  1,  0,20151029,,
        4451,          179,         1010,        62246,"myriam",  0,  1,  0,20151029,,
        4452,          180,         1006,        62042,"VENNESA",  0,  1,  0,20151030,,
        4453,          181,         1006,        62029,"VENNESA",  0,  1,  0,20151030,,
        4454,          182,         1006,        62008,"VENNESA",  0,  1,  0,20151030,,
        4455,          183,         1006,        62022,"VENNESA",  0,  1,  0,20151030,,
        4456,          184,         1006,        61995,"VENNESA",  0,  1,  0,20151030,,
        4457,          185,         1006,        62054,"VENNESA",  0,  1,  0,20151030,,
        4458,          186,         1006,        62000,"VENNESA",  0,  1,  0,20151030,,
        4459,          187,         1006,        62016,"VENNESA",  0,  1,  0,20151030,,
        4460,          188,         1006,        62001,"VENNESA",  0,  1,  0,20151030,,
        4461,          189,         1006,        62035,"VENNESA",  0,  1,  0,20151030,,
        4462,          190,         1006,        62006,"VENNESA",  0,  1,  0,20151030,,
        4463,          191,         1006,        62018,"VENNESA",  0,  1,  0,20151030,,
        4464,          192,         1006,        62049,"VENNESA",  0,  1,  0,20151030,,
        4465,          193,         1006,        61989,"VENNESA",  0,  1,  0,20151030,,
        4466,          194,         1006,        62004,"VENNESA",  0,  1,  0,20151030,,
        4467,          195,         1006,        62031,"VENNESA",  0,  1,  0,20151030,,
        4468,          196,         1006,        62037,"VENNESA",  0,  1,  0,20151030,,
        4469,          197,         1006,        61997,"VENNESA",  0,  1,  0,20151030,,
        4470,          198,         1006,        61991,"VENNESA",  0,  1,  0,20151030,,
        4471,          199,         1006,        61992,"VENNESA",  0,  1,  0,20151030,,
        4472,          200,         1006,        62010,"VENNESA",  0,  1,  0,20151030,,
        4473,          201,         1006,        62032,"VENNESA",  0,  1,  0,20151030,,
        4474,          202,         1006,        62036,"VENNESA",  0,  1,  0,20151030,,
        4475,          203,         1006,        62046,"VENNESA",  0,  1,  0,20151030,,
        4476,          204,         1006,        62024,"VENNESA",  0,  1,  0,20151030,,
        4477,          205,         1006,        62025,"VENNESA",  0,  1,  0,20151030,,
        4478,          206,         1006,        62028,"VENNESA",  0,  1,  0,20151030,,
        4479,          207,         1006,        62020,"VENNESA",  0,  1,  0,20151030,,
        4480,          208,         1006,        62041,"VENNESA",  0,  1,  0,20151030,,
        4481,          209,         1006,        62033,"VENNESA",  0,  1,  0,20151030,,
        4482,          210,         1006,        62007,"VENNESA",  0,  1,  0,20151030,,
        4483,          211,         1006,        62014,"VENNESA",  0,  1,  0,20151030,,
        4484,          212,         1006,        62040,"VENNESA",  0,  1,  0,20151030,,
        4485,          213,         1006,        62057,"VENNESA",  0,  1,  0,20151030,,
        4486,          214,         1006,        62044,"VENNESA",  0,  1,  0,20151030,,
        4487,          215,         1006,        61994,"VENNESA",  0,  1,  0,20151030,,
        4488,          216,         1006,        62051,"VENNESA",  0,  1,  0,20151030,,
        4489,          217,         1006,        62034,"VENNESA",  0,  1,  0,20151030,,
        4490,          218,         1006,        62055,"VENNESA",  0,  1,  0,20151030,,
        4491,          219,         1006,        62039,"VENNESA",  0,  1,  0,20151030,,
        4492,          220,         1006,        62011,"VENNESA",  0,  1,  0,20151030,,
        4493,          221,         1006,        62012,"VENNESA",  0,  1,  0,20151030,,
        4494,          222,         1006,        62050,"VENNESA",  0,  1,  0,20151030,,
        4495,          223,         1006,        62038,"VENNESA",  0,  1,  0,20151030,,
        4496,          224,         1006,        62019,"VENNESA",  0,  1,  0,20151030,,
        4497,          225,         1006,        62043,"VENNESA",  0,  1,  0,20151030,,
        4498,          226,         1006,        62002,"VENNESA",  0,  1,  0,20151030,,
        4499,          227,         1006,        62005,"VENNESA",  0,  1,  0,20151030,,
        4500,          228,         1006,        62026,"VENNESA",  0,  1,  0,20151030,,
        4501,          229,         1006,        62027,"VENNESA",  0,  1,  0,20151030,,
        4502,          230,         1006,        62048,"VENNESA",  0,  1,  0,20151030,,
        4503,          231,         1006,        62003,"VENNESA",  0,  1,  0,20151030,,
        4504,          232,         1006,        61990,"VENNESA",  0,  1,  0,20151030,,
        4505,          233,         1006,        62053,"VENNESA",  0,  1,  0,20151030,,
        4506,          234,         1006,        62017,"VENNESA",  0,  1,  0,20151030,,
        4507,          235,         1006,        62058,"VENNESA",  0,  1,  0,20151030,,
        4508,          236,         1006,        62009,"VENNESA",  0,  1,  0,20151030,,
        4509,          237,         1006,        62013,"VENNESA",  0,  1,  0,20151030,,
        4510,          238,         1006,        61993,"VENNESA",  0,  1,  0,20151030,,
        4511,          239,         1006,        62047,"VENNESA",  0,  1,  0,20151030,,
        4512,          240,         1006,        62052,"VENNESA",  0,  1,  0,20151030,,
        4513,          241,         1006,        61996,"VENNESA",  0,  1,  0,20151030,,
        4515,          242,         1006,        62045,"VENNESA",  0,  1,  0,20151030,,
        4516,          243,         1006,        62056,"VENNESA",  0,  1,  0,20151030,,
        4517,          244,         1006,        61999,"VENNESA",  0,  1,  0,20151030,,
        4518,          245,         1006,        62023,"VENNESA",  0,  1,  0,20151030,,
        4519,          246,         1006,        62030,"VENNESA",  0,  1,  0,20151030,,
        4520,          247,         1006,        61998,"VENNESA",  0,  1,  0,20151030,,
        4521,          248,         1006,        62021,"VENNESA",  0,  1,  0,20151030,,
        4522,          249,         1008,        62125,"VENNESA",  0,  1,  0,20151103,,
        4523,          250,         1008,        62138,"VENNESA",  0,  1,  0,20151103,,
        4524,          251,         1008,        62139,"VENNESA",  0,  1,  0,20151103,,
        4525,          252,         1008,        62092,"VENNESA",  0,  1,  0,20151103,,
        4526,          253,         1008,        62077,"VENNESA",  0,  1,  0,20151103,,
        4527,          254,         1008,        62107,"VENNESA",  0,  1,  0,20151103,,
        4528,          255,         1008,        62106,"VENNESA",  0,  1,  0,20151103,,
        4529,          256,         1008,        62126,"VENNESA",  0,  1,  0,20151103,,
        4530,          257,         1008,        62096,"VENNESA",  0,  1,  0,20151103,,
        4531,          258,         1008,        62123,"VENNESA",  0,  1,  0,20151103,,
        4532,          259,         1008,        62080,"VENNESA",  0,  1,  0,20151103,,
        4533,          260,         1008,        62095,"VENNESA",  0,  1,  0,20151103,,
        4534,          261,         1008,        62118,"VENNESA",  0,  1,  0,20151103,,
        4535,          262,         1008,        62100,"VENNESA",  0,  1,  0,20151103,,
        4536,          263,         1008,        62119,"VENNESA",  0,  1,  0,20151103,,
        4537,          264,         1008,        62062,"VENNESA",  0,  1,  0,20151103,,
        4538,          265,         1008,        62078,"VENNESA",  0,  1,  0,20151103,,
        4539,          266,         1008,        62135,"VENNESA",  0,  1,  0,20151103,,
        4540,          267,         1008,        62110,"VENNESA",  0,  1,  0,20151103,,
        4541,          268,         1008,        62076,"VENNESA",  0,  1,  0,20151103,,
        4542,          269,         1008,        62104,"VENNESA",  0,  1,  0,20151103,,
        4543,          270,         1008,        62086,"VENNESA",  0,  1,  0,20151103,,
        4544,          271,         1008,        62093,"VENNESA",  0,  1,  0,20151103,,
        4545,          272,         1008,        62120,"VENNESA",  0,  1,  0,20151103,,
        4546,          273,         1008,        62131,"VENNESA",  0,  1,  0,20151103,,
        4547,          274,         1008,        62071,"VENNESA",  0,  1,  0,20151103,,
        4548,          275,         1008,        62061,"VENNESA",  0,  1,  0,20151103,,
        4549,          276,         1008,        62113,"VENNESA",  0,  1,  0,20151103,,
        4550,          277,         1008,        62088,"VENNESA",  0,  1,  0,20151103,,
        4551,          278,         1008,        62115,"VENNESA",  0,  1,  0,20151103,,
        4552,          279,         1008,        62070,"VENNESA",  0,  1,  0,20151103,,
        4553,          280,         1008,        62069,"VENNESA",  0,  1,  0,20151103,,
        4554,          281,         1008,        62137,"VENNESA",  0,  1,  0,20151103,,
        4555,          282,         1008,        62117,"VENNESA",  0,  1,  0,20151103,,
        4557,          283,         1008,        62068,"VENNESA",  0,  1,  0,20151103,,
        4558,          284,         1008,        62132,"VENNESA",  0,  1,  0,20151103,,
        4559,          285,         1008,        62133,"VENNESA",  0,  1,  0,20151103,,
        4560,          286,         1008,        62129,"VENNESA",  0,  1,  0,20151103,,
        4561,          287,         1008,        62084,"VENNESA",  0,  1,  0,20151103,,
        4562,          288,         1008,        62111,"VENNESA",  0,  1,  0,20151103,,
        4563,          289,         1008,        62098,"VENNESA",  0,  1,  0,20151103,,
        4564,          290,         1008,        62074,"VENNESA",  0,  1,  0,20151103,,
        4565,          291,         1008,        62108,"VENNESA",  0,  1,  0,20151103,,
        4566,          292,         1008,        62116,"VENNESA",  0,  1,  0,20151103,,
        4567,          293,         1008,        62127,"VENNESA",  0,  1,  0,20151103,,
        4568,          294,         1008,        62097,"VENNESA",  0,  1,  0,20151103,,
        4569,          295,         1008,        62087,"VENNESA",  0,  1,  0,20151103,,
        4570,          296,         1008,        62103,"VENNESA",  0,  1,  0,20151103,,
        4571,          297,         1008,        62083,"VENNESA",  0,  1,  0,20151103,,
        4572,          298,         1008,        62109,"VENNESA",  0,  1,  0,20151103,,
        4573,          299,         1008,        62128,"VENNESA",  0,  1,  0,20151103,,
        4574,          300,         1008,        62136,"VENNESA",  0,  1,  0,20151103,,
        4575,          301,         1008,        62075,"VENNESA",  0,  1,  0,20151103,,
        4576,          302,         1008,        62082,"VENNESA",  0,  1,  0,20151103,,
        4577,          303,         1008,        62122,"VENNESA",  0,  1,  0,20151103,,
        4578,          304,         1008,        62079,"VENNESA",  0,  1,  0,20151103,,
        4579,          305,         1008,        62121,"VENNESA",  0,  1,  0,20151103,,
        4580,          306,         1008,        62142,"VENNESA",  0,  1,  0,20151103,,
        4581,          307,         1008,        62130,"VENNESA",  0,  1,  0,20151103,,
        4582,          308,         1008,        62144,"VENNESA",  0,  1,  0,20151103,,
        4583,          309,         1008,        62091,"VENNESA",  0,  1,  0,20151103,,
        4585,          310,         1008,        62063,"VENNESA",  0,  1,  0,20151103,,
        4586,          311,         1008,        62101,"VENNESA",  0,  1,  0,20151103,,
        4587,          312,         1008,        62124,"VENNESA",  0,  1,  0,20151103,,
        4588,          313,         1008,        62143,"VENNESA",  0,  1,  0,20151103,,
        4589,          314,         1008,        62094,"VENNESA",  0,  1,  0,20151103,,
        4590,          315,         1008,        62114,"VENNESA",  0,  1,  0,20151103,,
        4591,          316,         1008,        62089,"VENNESA",  0,  1,  0,20151103,,
        4592,          317,         1008,        62085,"VENNESA",  0,  1,  0,20151103,,
        4593,          318,         1008,        62141,"VENNESA",  0,  1,  0,20151103,,
        4594,          319,         1008,        62134,"VENNESA",  0,  1,  0,20151103,,
        4595,          320,         1008,        62067,"VENNESA",  0,  1,  0,20151103,,
        4596,          321,         1008,        62072,"VENNESA",  0,  1,  0,20151103,,
        4597,          322,         1008,        62081,"VENNESA",  0,  1,  0,20151103,,
        4598,          323,         1008,        62066,"VENNESA",  0,  1,  0,20151103,,
        4599,          324,         1008,        62140,"VENNESA",  0,  1,  0,20151103,,
        4600,          325,         1008,        62090,"VENNESA",  0,  1,  0,20151103,,
        4601,          326,         1008,        62065,"VENNESA",  0,  1,  0,20151103,,
        4602,          327,         1008,        62112,"VENNESA",  0,  1,  0,20151103,,
        4603,          328,         1008,        62102,"VENNESA",  0,  1,  0,20151103,,
        4604,          329,         1008,        62064,"VENNESA",  0,  1,  0,20151103,,
        4605,          330,         1008,        62099,"VENNESA",  0,  1,  0,20151103,,
        4606,          331,         1008,        62105,"VENNESA",  0,  1,  0,20151103,,
        4607,          332,         1008,        62073,"VENNESA",  0,  1,  0,20151103,,
        4608,          333,         1015,        62490,"VENNESA",  0,  1,  0,20151103,,
        4609,          334,         1015,        62476,"VENNESA",  0,  1,  0,20151103,,
        4610,          335,         1015,        62486,"VENNESA",  0,  1,  0,20151103,,
        4611,          336,         1015,        62498,"VENNESA",  0,  1,  0,20151103,,
        4612,          337,         1015,        62468,"VENNESA",  0,  1,  0,20151103,,
        4613,          338,         1015,        62511,"VENNESA",  0,  1,  0,20151103,,
        4614,          339,         1015,        62489,"VENNESA",  0,  1,  0,20151103,,
        4615,          340,         1015,        62501,"VENNESA",  0,  1,  0,20151103,,
        4616,          341,         1015,        62507,"VENNESA",  0,  1,  0,20151103,,
        4617,          342,         1015,        62483,"VENNESA",  0,  1,  0,20151103,,
        4618,          343,         1015,        62500,"VENNESA",  0,  1,  0,20151103,,
        4619,          344,         1015,        62492,"VENNESA",  0,  1,  0,20151103,,
        4620,          345,         1015,        62508,"VENNESA",  0,  1,  0,20151103,,
        4621,          346,         1015,        62493,"VENNESA",  0,  1,  0,20151103,,
        4622,          347,         1015,        62505,"VENNESA",  0,  1,  0,20151103,,
        4623,          348,         1015,        62518,"VENNESA",  0,  1,  0,20151103,,
        4624,          349,         1015,        62520,"VENNESA",  0,  1,  0,20151103,,
        4625,          350,         1015,        62482,"VENNESA",  0,  1,  0,20151103,,
        4626,          351,         1015,        62471,"VENNESA",  0,  1,  0,20151103,,
        4627,          352,         1015,        62503,"VENNESA",  0,  1,  0,20151103,,
        4628,          353,         1015,        62516,"VENNESA",  0,  1,  0,20151103,,
        4629,          354,         1015,        62474,"VENNESA",  0,  1,  0,20151103,,
        4630,          355,         1015,        62485,"VENNESA",  0,  1,  0,20151103,,
        4631,          356,         1015,        62475,"VENNESA",  0,  1,  0,20151103,,
        4632,          357,         1015,        62499,"VENNESA",  0,  1,  0,20151103,,
        4633,          358,         1015,        62484,"VENNESA",  0,  1,  0,20151103,,
        4634,          359,         1015,        62506,"VENNESA",  0,  1,  0,20151103,,
        4635,          360,         1015,        62496,"VENNESA",  0,  1,  0,20151103,,
        4636,          361,         1015,        62469,"VENNESA",  0,  1,  0,20151103,,
        4637,          362,         1015,        62487,"VENNESA",  0,  1,  0,20151103,,
        4638,          363,         1015,        62478,"VENNESA",  0,  1,  0,20151103,,
        4639,          364,         1015,        62509,"VENNESA",  0,  1,  0,20151103,,
        4640,          365,         1015,        62473,"VENNESA",  0,  1,  0,20151103,,
        4641,          366,         1015,        62519,"VENNESA",  0,  1,  0,20151103,,
        4642,          367,         1015,        62502,"VENNESA",  0,  1,  0,20151103,,
        4643,          368,         1015,        62491,"VENNESA",  0,  1,  0,20151103,,
        4644,          369,         1015,        62479,"VENNESA",  0,  1,  0,20151103,,
        4645,          370,         1015,        62495,"VENNESA",  0,  1,  0,20151103,,
        4646,          371,         1015,        62514,"VENNESA",  0,  1,  0,20151103,,
        4647,          372,         1015,        62488,"VENNESA",  0,  1,  0,20151103,,
        4648,          373,         1015,        62480,"VENNESA",  0,  1,  0,20151103,,
        4649,          374,         1015,        62515,"VENNESA",  0,  1,  0,20151103,,
        4651,          375,         1015,        62510,"VENNESA",  0,  1,  0,20151103,,
        4652,          376,         1015,        62481,"VENNESA",  0,  1,  0,20151103,,
        4653,          377,         1015,        62470,"VENNESA",  0,  1,  0,20151103,,
        4654,          378,         1015,        62504,"VENNESA",  0,  1,  0,20151103,,
        4655,          379,         1015,        62513,"VENNESA",  0,  1,  0,20151103,,
        4656,          380,         1015,        62472,"VENNESA",  0,  1,  0,20151103,,
        4657,          381,         1015,        62497,"VENNESA",  0,  1,  0,20151103,,
        4658,          382,         1015,        62517,"VENNESA",  0,  1,  0,20151103,,
        4659,          383,         1015,        62477,"VENNESA",  0,  1,  0,20151103,,
        4660,          384,         1015,        62512,"VENNESA",  0,  1,  0,20151103,,
